region,division,area,area_url,image_url
tohoku,iwate,岩手郡雫石町,https://weathernews.jp/onebox/livecam/tohoku/iwate/7CDDE9064115/,https://gvs.weathernews.jp/livecam/7CDDE9064115/640/
chugoku,okayama,岡山県総社市,https://weathernews.jp/onebox/livecam/chugoku/okayama/7CDDE901F496/,https://gvs.weathernews.jp/livecam/7CDDE901F496/640/
chubu,niigata,魚沼市,https://weathernews.jp/onebox/livecam/chubu/niigata/7CDDE907C6E3/,https://gvs.weathernews.jp/livecam/7CDDE907C6E3/640/
kyushu,oita,大分県由布市挾間町,https://weathernews.jp/onebox/livecam/kyushu/oita/7CDDE9068AE2/,https://gvs.weathernews.jp/livecam/7CDDE9068AE2/640/
kyushu,kagoshima,谷山中央,https://weathernews.jp/onebox/livecam/kyushu/kagoshima/7CDDE9068246/,https://gvs.weathernews.jp/livecam/7CDDE9068246/640/
kinki,shiga,滋賀県栗東市,https://weathernews.jp/onebox/livecam/kinki/shiga/7CDDE905CE02/,https://gvs.weathernews.jp/livecam/7CDDE905CE02/640/
kanto,chiba,千葉市緑区高津戸町,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE905CE0C/,https://gvs.weathernews.jp/livecam/7CDDE905CE0C/640/
kinki,osaka,城東区永田,https://weathernews.jp/onebox/livecam/kinki/osaka/7CDDE9068986/,https://gvs.weathernews.jp/livecam/7CDDE9068986/640/
kyushu,fukuoka,嘉麻市,https://weathernews.jp/onebox/livecam/kyushu/fukuoka/7CDDE907C26C/,https://gvs.weathernews.jp/livecam/7CDDE907C26C/640/
kanto,gunma,前橋市日吉町,https://weathernews.jp/onebox/livecam/kanto/gunma/7CDDE907E7F1/,https://gvs.weathernews.jp/livecam/7CDDE907E7F1/640/
hokkaido,douhoku,旭川市北東の空5/10 00:43,https://weathernews.jp/onebox/livecam/hokkaido/douhoku/7CDDE9067F15/,https://gvs.weathernews.jp/livecam/7CDDE9067F15/640/
kinki,hyogo,神戸市須磨区,https://weathernews.jp/onebox/livecam/kinki/hyogo/7CDDE906BA8F/,https://gvs.weathernews.jp/livecam/7CDDE906BA8F/640/
chubu,shizuoka,静岡市葵区富厚里5/10 00:25,https://weathernews.jp/onebox/livecam/chubu/shizuoka/7CDDE907A865/,https://gvs.weathernews.jp/livecam/7CDDE907A865/640/
kanto,chiba,乙浜港沖,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE905CC8C/,https://gvs.weathernews.jp/livecam/7CDDE905CC8C/640/
hokkaido,douou,虻田郡倶知安町5/10 00:44,https://weathernews.jp/onebox/livecam/hokkaido/douou/7CDDE9068774/,https://gvs.weathernews.jp/livecam/7CDDE9068774/640/
kyushu,fukuoka,福岡市西区沿岸部,https://weathernews.jp/onebox/livecam/kyushu/fukuoka/7CDDE905CA60/,https://gvs.weathernews.jp/livecam/7CDDE905CA60/640/
chubu,ishikawa,七尾市5/10 00:27,https://weathernews.jp/onebox/livecam/chubu/ishikawa/7CDDE907AB8E/,https://gvs.weathernews.jp/livecam/7CDDE907AB8E/640/
chugoku,hiroshima,広島県広島市佐伯区,https://weathernews.jp/onebox/livecam/chugoku/hiroshima/7CDDE9068CFC/,https://gvs.weathernews.jp/livecam/7CDDE9068CFC/640/
kanto,ibaraki,茨城県水戸市黒磯町くれふしの里,https://weathernews.jp/onebox/livecam/kanto/ibaraki/7CDDE9068789/,https://gvs.weathernews.jp/livecam/7CDDE9068789/640/
kinki,hyogo,神戸市垂水区高丸5/10 00:17,https://weathernews.jp/onebox/livecam/kinki/hyogo/7CDDE9067E16/,https://gvs.weathernews.jp/livecam/7CDDE9067E16/640/
kanto,tokyo,江東区2（南方向）,https://weathernews.jp/onebox/livecam/kanto/tokyo/410004231/,https://gvs.weathernews.jp/livecam/410004231/640/
kanto,kanagawa,茅ヶ崎市本村,https://weathernews.jp/onebox/livecam/kanto/kanagawa/7CDDE9063204/,https://gvs.weathernews.jp/livecam/7CDDE9063204/640/
kanto,ibaraki,ひたちなか市市毛,https://weathernews.jp/onebox/livecam/kanto/ibaraki/7CDDE9068E0E/,https://gvs.weathernews.jp/livecam/7CDDE9068E0E/640/
hokkaido,doutou,里見が丘5/10 00:43,https://weathernews.jp/onebox/livecam/hokkaido/doutou/7CDDE9068799/,https://gvs.weathernews.jp/livecam/7CDDE9068799/640/
tohoku,miyagi,仙台市愛子中央5/10 00:26,https://weathernews.jp/onebox/livecam/tohoku/miyagi/7CDDE907C44A/,https://gvs.weathernews.jp/livecam/7CDDE907C44A/640/
chubu,nagano,千曲市新田,https://weathernews.jp/onebox/livecam/chubu/nagano/7CDDE9067922/,https://gvs.weathernews.jp/livecam/7CDDE9067922/640/
kanto,chiba,船橋市本中山,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE906B84D/,https://gvs.weathernews.jp/livecam/7CDDE906B84D/640/
tohoku,yamagata,山形県山形市,https://weathernews.jp/onebox/livecam/tohoku/yamagata/7CDDE906B94A/,https://gvs.weathernews.jp/livecam/7CDDE906B94A/640/
kanto,kanagawa,神奈川県相模原市中央区の中央付近,https://weathernews.jp/onebox/livecam/kanto/kanagawa/7CDDE905CFA4/,https://gvs.weathernews.jp/livecam/7CDDE905CFA4/640/
chubu,aichi,春日井市役所付近5/10 00:44,https://weathernews.jp/onebox/livecam/chubu/aichi/7CDDE907B8DE/,https://gvs.weathernews.jp/livecam/7CDDE907B8DE/640/
shikoku,kagawa,香川県さぬき市長尾東5/10 00:25,https://weathernews.jp/onebox/livecam/shikoku/kagawa/7CDDE906B66A/,https://gvs.weathernews.jp/livecam/7CDDE906B66A/640/
tohoku,akita,秋田市浜田,https://weathernews.jp/onebox/livecam/tohoku/akita/410000621/,https://gvs.weathernews.jp/livecam/410000621/640/
kanto,tokyo,大田区蓮沼中学校南側付近,https://weathernews.jp/onebox/livecam/kanto/tokyo/7CDDE907CA4D/,https://gvs.weathernews.jp/livecam/7CDDE907CA4D/640/
kyushu,kumamoto,上天草市松島町,https://weathernews.jp/onebox/livecam/kyushu/kumamoto/7CDDE9068AC2/,https://gvs.weathernews.jp/livecam/7CDDE9068AC2/640/
hokkaido,doutou,更別村,https://weathernews.jp/onebox/livecam/hokkaido/doutou/410002294/,https://gvs.weathernews.jp/livecam/410002294/640/
chubu,shizuoka,浜松市中央区半田山三丁目,https://weathernews.jp/onebox/livecam/chubu/shizuoka/7CDDE90684EA/,https://gvs.weathernews.jp/livecam/7CDDE90684EA/640/
kyushu,nagasaki,長崎市の風頭(かざがしら)公園 周辺5/10 00:44,https://weathernews.jp/onebox/livecam/kyushu/nagasaki/7CDDE9067F65/,https://gvs.weathernews.jp/livecam/7CDDE9067F65/640/
kinki,osaka,箕面平和台,https://weathernews.jp/onebox/livecam/kinki/osaka/7CDDE90687EB/,https://gvs.weathernews.jp/livecam/7CDDE90687EB/640/
hokkaido,douhoku,北海道空知郡中富良野町5/10 00:44,https://weathernews.jp/onebox/livecam/hokkaido/douhoku/7CDDE9068758/,https://gvs.weathernews.jp/livecam/7CDDE9068758/640/
